0.860649D+00	0.566627D+00	0.433335D+00	0.337451D+00	0.263848D+00
0.210525D+00	0.169605D+00	0.138328D+00	0.114083D+00	0.951110D-01
0.803813D-01	0.686320D-01	0.588422D-01	0.510554D-01	
0.738782D+00	0.497599D+00	0.346423D+00	0.258994D+00	0.198258D+00
0.156747D+00	0.126003D+00	0.102458D+00	0.858565D-01	0.726437D-01
0.621184D-01	0.539956D-01	0.472655D-01	0.416907D-01	
0.141365D+01	0.679154D+00	0.396743D+00	0.248010D+00	0.167020D+00
0.118835D+00	0.891222D-01	0.696601D-01	0.560971D-01	0.469325D-01
0.402648D-01	0.352292D-01	0.312571D-01	0.279262D-01	
0.405213D+00	0.129165D+00	0.611245D-01	0.355407D-01	0.241114D-01
0.186835D-01	0.162644D-01	0.152496D-01	0.148293D-01	0.147618D-01
0.146508D-01	0.143931D-01	0.140945D-01	0.136467D-01	
0.442072D-01	0.249813D-01	0.198200D-01	0.175318D-01	0.158561D-01
0.148541D-01	0.144463D-01	0.140578D-01	0.136087D-01	0.132098D-01
0.127191D-01	0.120992D-01	0.113793D-01	0.106111D-01	
0.583581D+00	0.195823D+00	0.953056D-01	0.587643D-01	0.411877D-01
0.311366D-01	0.250650D-01	0.211409D-01	0.183129D-01	0.161858D-01
0.144616D-01	0.130503D-01	0.118645D-01	0.107868D-01	
0.862970D+00	0.328646D+00	0.169656D+00	0.104418D+00	0.729490D-01
0.542644D-01	0.421273D-01	0.345608D-01	0.293007D-01	0.252834D-01
0.221449D-01	0.195664D-01	0.173259D-01	0.155096D-01	
