 Table IV NASA Rotor 37 Blade Geometry
 Z and R are in centimeters

 SURFACE NUMBER     1 FROM THE HUB - hub/blade intersection.
    J      Z           R         THETA 1     THETA 2
   59   3.1932273  20.7680244   0.0684356   0.0539404
   60   3.2745566  20.7723579   0.0710680   0.0576831
   61   3.3485014  20.7761116   0.0733685   0.0610527
   62   3.4157333  20.7793999   0.0754025   0.0640959
   63   3.4768565  20.7823124   0.0772155   0.0668476
   64   3.5297501  20.7847843   0.0787593   0.0692149
   65   3.5772998  20.7869740   0.0801263   0.0713279
   66   3.6198463  20.7889252   0.0813325   0.0732038
   67   3.6580131  20.7906704   0.0824001   0.0748738
   68   3.6923459  20.7922401   0.0833474   0.0763662
   69   3.7232850  20.7936592   0.0841895   0.0777034
   70   3.7512040  20.7949409   0.0849388   0.0789038
   71   3.7764132  20.7961063   0.0856063   0.0799829
   72   3.7981186  20.7971153   0.0861739   0.0809084
   73   3.8177977  20.7980366   0.0866830   0.0817450
   74   3.8356299  20.7988739   0.0871395   0.0825008
   75   3.8517647  20.7996349   0.0875491   0.0831830
   76   3.8663518  20.8003273   0.0879166   0.0837987
   77   3.8795178  20.8009567   0.0882458   0.0843531
