Block 0
   0   4     7.81249999999997e-08
   1   0                        0
   1   1     1.50583635067431e-19
   1   2     3.76459087668577e-20
   1   3     6.88936060270169e-25
   2   0     0.000833333333333334
   2   1    -3.01167270134862e-20
   2   2     1.73611111111111e-07
   3   0     3.61400724161834e-19
   3   1    -8.02927061157707e-24
   4   0                 1.25e-06
 9 1 4.999999999999994e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3      2.6020852139652e-20
   0   4     7.81250000000001e-08
   1   0                        0
   1   1    -3.73447414967243e-20
   1   2    -4.10189821923681e-20
   1   3     2.83220632001305e-23
   2   0     0.000833333333333333
   2   1     4.84276970376857e-20
   2   2     1.73611111111111e-07
   3   0    -2.77555756156289e-19
   3   1    -4.74734597965976e-22
   4   0                 1.25e-06
 10 1 4.999999999999991e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     6.38324029050841e-20
   0   4     7.81250000000002e-08
   1   0                        0
   1   1     4.62592926927149e-19
   1   2    -1.93650554696716e-20
   1   3     1.03417536289789e-22
   2   0     0.000833333333333332
   2   1     4.97528330262792e-20
   2   2     1.73611111111111e-07
   3   0    -3.16225633641606e-19
   3   1     1.86772281120759e-22
   4   0     1.24999999999999e-06
 11 1 4.999999999999991e-03
    4
