TITLE = "CFFC: 2D Structured Curvilinear Grid Block (Cell Locations)"
VARIABLES = "x" \ 
"y" 
ZONE T =  "Block Number = 0" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  5.39408866681605e+00 -2.56306882036807e+00
  5.39385296455557e+00 -2.56330452262838e+00
  5.39361726229506e+00 -2.56354022488866e+00
ZONE T =  "Block Number = 14" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.60773974187243e+00 -1.77530568123645e+00
  4.60750403961195e+00 -1.77554138349676e+00
  4.60726833735146e+00 -1.77577708575706e+00
  4.69519041206412e+00 -1.86275635149765e+00
  4.69495470980362e+00 -1.86299205375794e+00
  4.69471900754313e+00 -1.86322775601825e+00
  4.78264108225580e+00 -1.95020702175885e+00
  4.78240537999528e+00 -1.95044272401912e+00
  4.78216967773482e+00 -1.95067842627945e+00
  4.87009175244744e+00 -2.03765769202000e+00
  4.86985605018699e+00 -2.03789339428034e+00
  4.86962034792647e+00 -2.03812909654062e+00
  4.95754242263915e+00 -2.12510836228122e+00
  4.95730672037865e+00 -2.12534406454151e+00
  4.95707101811815e+00 -2.12557976680181e+00
  5.04499309283081e+00 -2.21255903254240e+00
  5.04475739057033e+00 -2.21279473480270e+00
  5.04452168830984e+00 -2.21303043706301e+00
  5.13244376302250e+00 -2.30000970280361e+00
  5.13220806076199e+00 -2.30024540506388e+00
  5.13197235850153e+00 -2.30048110732421e+00
  5.21989443321415e+00 -2.38746037306477e+00
  5.21965873095369e+00 -2.38769607532510e+00
  5.21942302869317e+00 -2.38793177758537e+00
  5.30734510340583e+00 -2.47491104332597e+00
  5.30710940114535e+00 -2.47514674558627e+00
  5.30687369888487e+00 -2.47538244784658e+00
  5.39479577359752e+00 -2.56236171358717e+00
  5.39456007133703e+00 -2.56259741584746e+00
  5.39432436907653e+00 -2.56283311810776e+00
ZONE T =  "Block Number = 15" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.60844684865390e+00 -1.77459857445555e+00
  4.60821114639341e+00 -1.77483427671585e+00
  4.60797544413292e+00 -1.77506997897615e+00
  4.69589751884558e+00 -1.86204924471673e+00
  4.69566181658509e+00 -1.86228494697704e+00
  4.69542611432460e+00 -1.86252064923734e+00
  4.78334818903727e+00 -1.94949991497794e+00
  4.78311248677675e+00 -1.94973561723822e+00
  4.78287678451628e+00 -1.94997131949853e+00
  4.87079885922892e+00 -2.03695058523910e+00
  4.87056315696845e+00 -2.03718628749943e+00
  4.87032745470796e+00 -2.03742198975972e+00
  4.95824952942060e+00 -2.12440125550030e+00
  4.95801382716012e+00 -2.12463695776061e+00
  4.95777812489963e+00 -2.12487266002091e+00
  5.04570019961229e+00 -2.21185192576150e+00
  5.04546449735179e+00 -2.21208762802180e+00
  5.04522879509130e+00 -2.21232333028209e+00
  5.13315086980397e+00 -2.29930259602270e+00
  5.13291516754345e+00 -2.29953829828297e+00
  5.13267946528299e+00 -2.29977400054330e+00
  5.22060153999562e+00 -2.38675326628386e+00
  5.22036583773516e+00 -2.38698896854419e+00
  5.22013013547465e+00 -2.38722467080448e+00
  5.30805221018731e+00 -2.47420393654507e+00
  5.30781650792683e+00 -2.47443963880538e+00
  5.30758080566633e+00 -2.47467534106567e+00
  5.39550288037899e+00 -2.56165460680626e+00
  5.39526717811850e+00 -2.56189030906656e+00
  5.39503147585801e+00 -2.56212601132686e+00
ZONE T =  "Block Number = 16" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.60901253407909e+00 -1.77403288903084e+00
  4.60883340036111e+00 -1.77421202274865e+00
  4.60865426664314e+00 -1.77439115646649e+00
  4.69646320427076e+00 -1.86148355929202e+00
  4.69628407055278e+00 -1.86166269300984e+00
  4.69610493683481e+00 -1.86184182672767e+00
  4.78391387446243e+00 -1.94893422955320e+00
  4.78373474074446e+00 -1.94911336327103e+00
  4.78355560702646e+00 -1.94929249698884e+00
  4.87136454465409e+00 -2.03638489981437e+00
  4.87118541093613e+00 -2.03656403353222e+00
  4.87100627721818e+00 -2.03674316725007e+00
  4.95881521484580e+00 -2.12383557007560e+00
  4.95863608112782e+00 -2.12401470379342e+00
  4.95845694740984e+00 -2.12419383751124e+00
  5.04626588503746e+00 -2.21128624033677e+00
  5.04608675131948e+00 -2.21146537405459e+00
  5.04590761760151e+00 -2.21164450777243e+00
  5.13371655522913e+00 -2.29873691059796e+00
  5.13353742151116e+00 -2.29891604431579e+00
  5.13335828779317e+00 -2.29909517803360e+00
  5.22116722542078e+00 -2.38618758085913e+00
  5.22098809170284e+00 -2.38636671457699e+00
  5.22080895798488e+00 -2.38654584829483e+00
  5.30861789561251e+00 -2.47363825112037e+00
  5.30843876189450e+00 -2.47381738483816e+00
  5.30825962817654e+00 -2.47399651855600e+00
  5.39606856580416e+00 -2.56108892138153e+00
  5.39588943208620e+00 -2.56126805509937e+00
  5.39571029836821e+00 -2.56144718881718e+00
ZONE T =  "Block Number = 17" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.60999772962944e+00 -1.77304769348126e+00
  4.60963947815288e+00 -1.77340594495752e+00
  4.60928122667633e+00 -1.77376419643377e+00
  4.69744839982111e+00 -1.86049836374245e+00
  4.69709014834455e+00 -1.86085661521869e+00
  4.69673189686802e+00 -1.86121486669498e+00
  4.78489907001277e+00 -1.94794903400362e+00
  4.78454081853625e+00 -1.94830728547991e+00
  4.78418256705969e+00 -1.94866553695616e+00
  4.87234974020446e+00 -2.03539970426482e+00
  4.87199148872791e+00 -2.03575795574109e+00
  4.87163323725136e+00 -2.03611620721734e+00
  4.95980041039615e+00 -2.12285037452603e+00
